,time,signals,value
772,1621155137340,RAW,40
773,1621155137339,RAW,-3
774,1621155137339,RAW,37
775,1621155137340,RAW,37
776,1621155137394,RAW,65
777,1621155137394,RAW,60
778,1621155137394,RAW,48
779,1621155137394,RAW,65
780,1621155137394,RAW,53
781,1621155137394,RAW,45
782,1621155137395,RAW,55
783,1621155137395,RAW,55
784,1621155137395,RAW,58
785,1621155137395,RAW,52
786,1621155137395,RAW,66
787,1621155137395,RAW,68
788,1621155137411,RAW,67
789,1621155137411,RAW,65
790,1621155137412,RAW,51
791,1621155137412,RAW,34
792,1621155137412,RAW,35
793,1621155137412,RAW,26
794,1621155137412,RAW,13
795,1621155137412,RAW,10
796,1621155137412,RAW,41
797,1621155137413,RAW,9
798,1621155137413,RAW,22
799,1621155137413,RAW,10
800,1621155137412,RAW,37
801,1621155137420,RAW,50
802,1621155137421,RAW,44
803,1621155137421,RAW,33
804,1621155137421,RAW,27
805,1621155137421,RAW,33
806,1621155137421,RAW,33
807,1621155137421,RAW,42
808,1621155137422,RAW,40
809,1621155137421,RAW,32
810,1621155137420,RAW,37
811,1621155137421,RAW,26
812,1621155137421,RAW,49
813,1621155137432,RAW,22
814,1621155137432,RAW,23
815,1621155137432,YAW,187
816,1621155137433,RAW,25
817,1621155137433,RAW,40
818,1621155137434,RAW,56
819,1621155137434,RAW,68
820,1621155137434,RAW,76
821,1621155137434,RAW,75
822,1621155137432,RAW,26
823,1621155137432,ROLL,113
824,1621155137431,RAW,28
825,1621155137433,RAW,44
826,1621155137432,PITCH,1
827,1621155137451,RAW,77
828,1621155137451,RAW,85
829,1621155137491,RAW,75
830,1621155137492,RAW,71
831,1621155137492,RAW,58
832,1621155137491,RAW,80
833,1621155137496,RAW,51
834,1621155137496,RAW,49
835,1621155137496,RAW,38
836,1621155137497,RAW,39
837,1621155137496,RAW,45
838,1621155137497,RAW,43
839,1621155137502,RAW,41
840,1621155137507,RAW,48
841,1621155137508,RAW,56
842,1621155137508,RAW,51
843,1621155137508,RAW,57
844,1621155137508,RAW,51
845,1621155137508,RAW,57
846,1621155137509,RAW,64
847,1621155137509,RAW,67
848,1621155137509,RAW,65
849,1621155137509,RAW,60
850,1621155137509,RAW,59
851,1621155137509,RAW,64
852,1621155137519,RAW,32
853,1621155137520,RAW,29
854,1621155137519,RAW,64
855,1621155137519,RAW,67
856,1621155137524,RAW,28
857,1621155137523,RAW,41
858,1621155137523,RAW,42
859,1621155137526,RAW,83
860,1621155137525,RAW,68
861,1621155137526,RAW,81
862,1621155137519,RAW,50
863,1621155137528,RAW,71
864,1621155137528,RAW,49
865,1621155137528,RAW,27
866,1621155137519,RAW,70
867,1621155137528,RAW,59
868,1621155137530,RAW,25
869,1621155137530,RAW,44
870,1621155137530,RAW,4
871,1621155137525,RAW,38
872,1621155137530,RAW,8
873,1621155137532,RAW,37
874,1621155137532,RAW,44
875,1621155137530,RAW,9
876,1621155137530,RAW,53
877,1621155137562,RAW,7
878,1621155137562,RAW,8
879,1621155137562,RAW,26
880,1621155137563,RAW,48
881,1621155137562,RAW,16
882,1621155137563,RAW,64
883,1621155137562,RAW,24
884,1621155137562,RAW,6
885,1621155137562,RAW,24
886,1621155137563,RAW,61
887,1621155137562,RAW,25
888,1621155137561,RAW,32
889,1621155137582,RAW,36
890,1621155137582,RAW,17
891,1621155137583,RAW,36
892,1621155137582,RAW,50
893,1621155137583,RAW,50
894,1621155137582,RAW,41
895,1621155137583,RAW,45
896,1621155137582,RAW,22
897,1621155137582,RAW,42
898,1621155137582,RAW,25
899,1621155137583,RAW,41
900,1621155137582,RAW,44
901,1621155137581,RAW,52
902,1621155137600,RAW,39
903,1621155137601,RAW,6
904,1621155137605,RAW,7
905,1621155137606,RAW,33
906,1621155137607,RAW,64
907,1621155137607,RAW,38
908,1621155137607,RAW,53
909,1621155137601,RAW,25
910,1621155137607,RAW,28
911,1621155137601,RAW,40
912,1621155137607,RAW,58
913,1621155137600,RAW,43
914,1621155137635,RAW,52
915,1621155137636,RAW,39
916,1621155137636,RAW,32
917,1621155137636,RAW,40
918,1621155137636,RAW,45
919,1621155137636,RAW,51
920,1621155137637,RAW,38
921,1621155137635,RAW,48
922,1621155137636,RAW,35
923,1621155137636,RAW,51
924,1621155137637,RAW,37
925,1621155137636,RAW,41
926,1621155137635,RAW,34
927,1621155137657,RAW,36
928,1621155137657,RAW,77
929,1621155137657,RAW,81
930,1621155137657,RAW,52
931,1621155137657,RAW,33
932,1621155137658,RAW,36
933,1621155137658,RAW,28
934,1621155137658,RAW,29
935,1621155137658,RAW,28
936,1621155137657,RAW,59
937,1621155137657,RAW,33
938,1621155137657,RAW,34
939,1621155137676,RAW,34
940,1621155137676,RAW,34
941,1621155137676,RAW,32
942,1621155137676,RAW,13
943,1621155137676,RAW,17
944,1621155137676,RAW,20
945,1621155137677,RAW,36
946,1621155137677,RAW,32
947,1621155137676,RAW,35
948,1621155137676,RAW,22
949,1621155137677,RAW,28
950,1621155137675,RAW,28
951,1621155137694,RAW,24
952,1621155137695,RAW,42
953,1621155137695,RAW,44
954,1621155137695,RAW,21
955,1621155137695,RAW,7
956,1621155137695,RAW,3
957,1621155137695,RAW,20
958,1621155137695,RAW,11
959,1621155137694,RAW,28
960,1621155137695,RAW,9
961,1621155137695,RAW,37
962,1621155137694,RAW,27
963,1621155137695,RAW,11
964,1621155137732,RAW,43
965,1621155137732,RAW,56
966,1621155137732,RAW,58
967,1621155137732,RAW,40
968,1621155137732,RAW,24
969,1621155137732,RAW,28
970,1621155137732,RAW,28
971,1621155137732,RAW,34
972,1621155137733,RAW,43
973,1621155137733,RAW,43
974,1621155137732,RAW,38
975,1621155137731,RAW,34
976,1621155137733,RAW,41
977,1621155137751,RAW,59
978,1621155137751,RAW,33
979,1621155137751,RAW,59
980,1621155137751,RAW,48
981,1621155137752,PITCH,0
982,1621155137752,YAW,190
983,1621155137751,RAW,51
984,1621155137750,RAW,67
985,1621155137752,ROLL,113
986,1621155137751,RAW,12
987,1621155137751,RAW,23
988,1621155137751,RAW,54
989,1621155137750,RAW,55
