,time,signals,value
639,08:52:16.776000,RAW,39
640,08:52:16.776000,RAW,57
641,08:52:16.776000,RAW,60
642,08:52:16.776000,RAW,41
643,08:52:16.776000,RAW,54
644,08:52:16.776000,RAW,39
645,08:52:16.777000,RAW,33
646,08:52:16.777000,RAW,22
647,08:52:16.775000,RAW,27
648,08:52:16.813000,RAW,22
649,08:52:16.813000,RAW,41
650,08:52:16.813000,RAW,52
651,08:52:16.814000,RAW,55
652,08:52:16.814000,RAW,50
653,08:52:16.813000,RAW,32
654,08:52:16.814000,RAW,13
655,08:52:16.813000,RAW,57
656,08:52:16.814000,RAW,35
657,08:52:16.813000,RAW,52
658,08:52:16.814000,RAW,51
659,08:52:16.814000,RAW,50
660,08:52:16.832000,RAW,1
661,08:52:16.832000,RAW,5
662,08:52:16.832000,RAW,2
663,08:52:16.832000,RAW,3
664,08:52:16.833000,RAW,4
665,08:52:16.833000,RAW,-4
666,08:52:16.833000,RAW,52
667,08:52:16.833000,RAW,6
668,08:52:16.832000,RAW,0
669,08:52:16.832000,RAW,-3
670,08:52:16.832000,RAW,6
671,08:52:16.833000,RAW,27
672,08:52:16.833000,RAW,58
673,08:52:16.867000,RAW,67
674,08:52:16.867000,RAW,72
675,08:52:16.868000,RAW,50
676,08:52:16.868000,RAW,28
677,08:52:16.868000,RAW,49
678,08:52:16.868000,RAW,28
679,08:52:16.868000,RAW,52
680,08:52:16.867000,RAW,38
681,08:52:16.868000,RAW,45
682,08:52:16.868000,RAW,44
683,08:52:16.867000,RAW,44
684,08:52:16.867000,RAW,50
685,08:52:16.868000,RAW,42
686,08:52:16.887000,ROLL,113
687,08:52:16.887000,YAW,192
688,08:52:16.888000,RAW,48
689,08:52:16.888000,RAW,17
690,08:52:16.889000,RAW,27
691,08:52:16.889000,RAW,25
692,08:52:16.889000,RAW,24
693,08:52:16.889000,RAW,23
694,08:52:16.889000,RAW,22
695,08:52:16.889000,RAW,51
696,08:52:16.887000,PITCH,1
697,08:52:16.889000,RAW,34
698,08:52:16.889000,RAW,21
699,08:52:16.958000,RAW,56
700,08:52:16.959000,RAW,43
701,08:52:16.958000,RAW,50
702,08:52:16.961000,RAW,19
703,08:52:16.961000,RAW,35
704,08:52:17.206000,RAW,16
705,08:52:17.206000,RAW,28
706,08:52:17.206000,RAW,19
707,08:52:17.207000,RAW,16
708,08:52:17.207000,RAW,19
709,08:52:17.206000,RAW,39
710,08:52:17.207000,RAW,19
711,08:52:17.207000,RAW,12
712,08:52:17.206000,RAW,4
713,08:52:17.243000,RAW,16
714,08:52:17.244000,RAW,11
715,08:52:17.247000,RAW,16
716,08:52:17.249000,RAW,23
717,08:52:17.249000,RAW,36
718,08:52:17.249000,RAW,34
719,08:52:17.250000,RAW,35
720,08:52:17.250000,RAW,19
721,08:52:17.250000,RAW,42
722,08:52:17.250000,RAW,7
723,08:52:17.250000,RAW,8
724,08:52:17.249000,RAW,39
725,08:52:17.249000,RAW,28
726,08:52:17.263000,RAW,19
727,08:52:17.263000,RAW,29
728,08:52:17.266000,RAW,23
729,08:52:17.269000,RAW,12
730,08:52:17.270000,RAW,26
731,08:52:17.270000,RAW,50
732,08:52:17.268000,RAW,11
733,08:52:17.270000,RAW,8
734,08:52:17.269000,RAW,6
735,08:52:17.269000,RAW,16
736,08:52:17.272000,RAW,48
737,08:52:17.273000,RAW,37
738,08:52:17.273000,RAW,37
739,08:52:17.282000,RAW,56
740,08:52:17.282000,RAW,57
741,08:52:17.282000,RAW,53
742,08:52:17.282000,RAW,42
743,08:52:17.282000,RAW,37
744,08:52:17.283000,RAW,45
745,08:52:17.283000,RAW,39
746,08:52:17.283000,RAW,41
747,08:52:17.282000,RAW,37
748,08:52:17.282000,RAW,42
749,08:52:17.282000,RAW,49
750,08:52:17.283000,RAW,42
751,08:52:17.301000,RAW,7
752,08:52:17.301000,RAW,-2
753,08:52:17.301000,RAW,-2
754,08:52:17.301000,RAW,9
755,08:52:17.302000,RAW,-2
756,08:52:17.301000,RAW,2
757,08:52:17.300000,RAW,52
758,08:52:17.301000,RAW,0
759,08:52:17.300000,RAW,48
760,08:52:17.301000,RAW,-3
761,08:52:17.301000,RAW,0
762,08:52:17.300000,RAW,24
763,08:52:17.339000,RAW,0
764,08:52:17.339000,RAW,-2
765,08:52:17.339000,RAW,43
766,08:52:17.339000,RAW,4
767,08:52:17.340000,RAW,55
768,08:52:17.340000,RAW,49
769,08:52:17.340000,RAW,41
770,08:52:17.339000,RAW,-5
771,08:52:17.339000,RAW,21
772,08:52:17.340000,RAW,40
773,08:52:17.339000,RAW,-3
774,08:52:17.339000,RAW,37
775,08:52:17.340000,RAW,37
776,08:52:17.394000,RAW,65
777,08:52:17.394000,RAW,60
778,08:52:17.394000,RAW,48
779,08:52:17.394000,RAW,65
780,08:52:17.394000,RAW,53
781,08:52:17.394000,RAW,45
782,08:52:17.395000,RAW,55
783,08:52:17.395000,RAW,55
784,08:52:17.395000,RAW,58
785,08:52:17.395000,RAW,52
786,08:52:17.395000,RAW,66
787,08:52:17.395000,RAW,68
788,08:52:17.411000,RAW,67
789,08:52:17.411000,RAW,65
790,08:52:17.412000,RAW,51
791,08:52:17.412000,RAW,34
792,08:52:17.412000,RAW,35
793,08:52:17.412000,RAW,26
794,08:52:17.412000,RAW,13
795,08:52:17.412000,RAW,10
796,08:52:17.412000,RAW,41
797,08:52:17.413000,RAW,9
798,08:52:17.413000,RAW,22
799,08:52:17.413000,RAW,10
800,08:52:17.412000,RAW,37
801,08:52:17.420000,RAW,50
802,08:52:17.421000,RAW,44
803,08:52:17.421000,RAW,33
804,08:52:17.421000,RAW,27
805,08:52:17.421000,RAW,33
806,08:52:17.421000,RAW,33
807,08:52:17.421000,RAW,42
808,08:52:17.422000,RAW,40
809,08:52:17.421000,RAW,32
810,08:52:17.420000,RAW,37
811,08:52:17.421000,RAW,26
812,08:52:17.421000,RAW,49
813,08:52:17.432000,RAW,22
814,08:52:17.432000,RAW,23
