,Delta,Theta,Alpha,Beta,Gamma,R
184,254637.31699329583,101229.33244957576,13328.479253656858,27273.100562175412,26941.602059338406,0.4887042169360786
185,49633.04746843713,67862.74246983403,10203.757931529843,26016.459964925612,27014.578198546194,0.3922039334054731
186,218065.49461943845,97392.2629425758,73320.00525403648,40495.49637141899,25070.26862510608,1.8105718369656647
187,316083.9465201576,136309.48378091457,12953.202122116872,24571.03871821704,18256.913723321355,0.5271735668428754
188,194042.20877581162,17534.336343168612,12724.02189916544,28717.027293128747,13941.084892070061,0.44308283616145655
189,57423.30982022679,4732.01821246325,11116.590433129053,22837.680629678107,21300.738941601645,0.48676529869161844
190,97784.59321661656,22307.919276403238,11610.07812288125,7113.087602712742,10655.101798840431,1.63221357184656
191,123701.56591297332,44129.12406655175,7680.004847963604,10000.224429216687,4106.722577331748,0.76798324900846
192,144699.94249720196,29134.467313490914,16745.86135901711,10738.359127642043,4117.39409928644,1.559443222187542
193,76998.84445354561,44541.41771243187,17914.070747996342,15863.560802499082,3931.9879451523448,1.129259122275639
194,98498.32161438774,19875.501622142052,5263.884259552574,8601.212002208837,4170.840206150935,0.6119933165466426
195,87144.5795118938,9333.180745190453,4754.520660388992,11990.943075620793,5800.418012858427,0.3965093179414365
196,120904.46618159181,11270.9907654042,3898.350511576781,7392.250707906529,3842.3560289731136,0.5273563716402668
197,150914.13398062257,43588.989253081534,10499.780058951193,8261.35971865948,3006.3524780528733,1.270950596090849
198,60317.57748312174,20958.675273649107,4888.58040285682,10045.668874364652,4964.480384952865,0.4866356301402581
199,131879.96907413,9247.401903339633,10482.584053657314,4264.644452773891,7052.995921340594,2.458020632139458
200,289091.68482866406,120118.11521326142,41019.17002946223,9893.831730925596,7715.144645544293,4.145933663016196
201,58126.14982516891,42510.19506336663,14058.456761754325,8664.058054395886,3118.76916249678,1.6226180241972734
202,99591.11843036108,7683.933818160812,11708.928562917947,9469.05122665549,8216.403005481836,1.23654717697135
203,93331.98146154943,6131.494354109054,12666.79829791291,23927.94175637562,6254.976637781273,0.52937266509928
204,1130284.1832845416,355365.22900640336,74001.58080442336,100868.99378695159,434059.8828417617,0.7336405175283527
205,119406302.95404665,26339130.836862575,9298490.85052011,2520064.641153289,9090653.958915137,3.6897826740923296
206,47476937.41095783,9303741.316570714,28457863.302602556,20631457.805364706,9438031.876874559,1.3793433101563373
207,70454.12911684964,18.71130232081204,4.678682292735551,101.63608827189616,17.978773949534855,0.04603367142799881
