,time,value
870,08:52:17.530000,4
871,08:52:17.525000,38
872,08:52:17.530000,8
873,08:52:17.532000,37
874,08:52:17.532000,44
875,08:52:17.530000,9
876,08:52:17.530000,53
877,08:52:17.562000,7
878,08:52:17.562000,8
879,08:52:17.562000,26
880,08:52:17.563000,48
881,08:52:17.562000,16
882,08:52:17.563000,64
883,08:52:17.562000,24
884,08:52:17.562000,6
885,08:52:17.562000,24
886,08:52:17.563000,61
887,08:52:17.562000,25
888,08:52:17.561000,32
889,08:52:17.582000,36
890,08:52:17.582000,17
891,08:52:17.583000,36
892,08:52:17.582000,50
893,08:52:17.583000,50
894,08:52:17.582000,41
895,08:52:17.583000,45
896,08:52:17.582000,22
897,08:52:17.582000,42
898,08:52:17.582000,25
899,08:52:17.583000,41
900,08:52:17.582000,44
901,08:52:17.581000,52
902,08:52:17.600000,39
903,08:52:17.601000,6
904,08:52:17.605000,7
905,08:52:17.606000,33
906,08:52:17.607000,64
907,08:52:17.607000,38
908,08:52:17.607000,53
909,08:52:17.601000,25
910,08:52:17.607000,28
911,08:52:17.601000,40
912,08:52:17.607000,58
913,08:52:17.600000,43
914,08:52:17.635000,52
915,08:52:17.636000,39
916,08:52:17.636000,32
917,08:52:17.636000,40
918,08:52:17.636000,45
919,08:52:17.636000,51
920,08:52:17.637000,38
921,08:52:17.635000,48
922,08:52:17.636000,35
923,08:52:17.636000,51
924,08:52:17.637000,37
925,08:52:17.636000,41
926,08:52:17.635000,34
927,08:52:17.657000,36
928,08:52:17.657000,77
929,08:52:17.657000,81
930,08:52:17.657000,52
931,08:52:17.657000,33
932,08:52:17.658000,36
933,08:52:17.658000,28
934,08:52:17.658000,29
935,08:52:17.658000,28
936,08:52:17.657000,59
937,08:52:17.657000,33
938,08:52:17.657000,34
939,08:52:17.676000,34
940,08:52:17.676000,34
941,08:52:17.676000,32
942,08:52:17.676000,13
943,08:52:17.676000,17
944,08:52:17.676000,20
945,08:52:17.677000,36
946,08:52:17.677000,32
947,08:52:17.676000,35
948,08:52:17.676000,22
949,08:52:17.677000,28
950,08:52:17.675000,28
951,08:52:17.694000,24
952,08:52:17.695000,42
953,08:52:17.695000,44
954,08:52:17.695000,21
955,08:52:17.695000,7
956,08:52:17.695000,3
957,08:52:17.695000,20
958,08:52:17.695000,11
959,08:52:17.694000,28
960,08:52:17.695000,9
961,08:52:17.695000,37
962,08:52:17.694000,27
963,08:52:17.695000,11
964,08:52:17.732000,43
965,08:52:17.732000,56
966,08:52:17.732000,58
967,08:52:17.732000,40
968,08:52:17.732000,24
969,08:52:17.732000,28
970,08:52:17.732000,28
971,08:52:17.732000,34
972,08:52:17.733000,43
973,08:52:17.733000,43
974,08:52:17.732000,38
975,08:52:17.731000,34
976,08:52:17.733000,41
977,08:52:17.751000,59
978,08:52:17.751000,33
979,08:52:17.751000,59
980,08:52:17.751000,48
983,08:52:17.751000,51
984,08:52:17.750000,67
986,08:52:17.751000,12
987,08:52:17.751000,23
988,08:52:17.751000,54
989,08:52:17.750000,55
990,08:52:17.818000,37
991,08:52:17.819000,12
992,08:52:17.818000,6
993,08:52:17.824000,17
994,08:52:17.824000,35
995,08:52:17.818000,12
996,08:52:17.824000,19
997,08:52:17.819000,22
998,08:52:17.824000,40
999,08:52:17.829000,21
1000,08:52:17.830000,20
1001,08:52:17.831000,21
1002,08:52:17.831000,23
1003,08:52:17.825000,28
1004,08:52:17.832000,20
1005,08:52:17.832000,36
1006,08:52:17.832000,10
1007,08:52:17.818000,48
1008,08:52:17.837000,22
1009,08:52:17.838000,37
1010,08:52:17.838000,33
1011,08:52:17.838000,17
1012,08:52:17.838000,10
1013,08:52:17.832000,35
1014,08:52:17.838000,32
1015,08:52:17.839000,26
1016,08:52:17.839000,32
1017,08:52:17.838000,27
1018,08:52:17.838000,28
1019,08:52:17.836000,18
1020,08:52:17.844000,67
1021,08:52:17.845000,71
1022,08:52:17.845000,52
1023,08:52:17.845000,44
1024,08:52:17.846000,52
1025,08:52:17.848000,55
1026,08:52:17.848000,27
1027,08:52:17.845000,40
1028,08:52:17.848000,49
1029,08:52:17.850000,67
1030,08:52:17.850000,64
1031,08:52:17.849000,51
1032,08:52:17.844000,26
1033,08:52:17.852000,39
1034,08:52:17.850000,43
1035,08:52:17.844000,43
1036,08:52:17.845000,60
1037,08:52:17.848000,27
1038,08:52:17.838000,20
1039,08:52:17.850000,49
1040,08:52:17.845000,42
1041,08:52:17.881000,35
1042,08:52:17.881000,17
1043,08:52:17.881000,17
1044,08:52:17.881000,37
1045,08:52:17.881000,74
1046,08:52:17.882000,54
